"","scientific_name","mean_eye_size","common_name","mass"
"1","Aegithina tiphia",3.887,"Common Iora",12
"2","Arachnothera longirostra",5.108,"Little Spiderhunter",12.5
"3","Carpodacus erythrinus",3.756,"Common Rosefinch",24
"4","Centropus sinensis",9.759,"Greater Coucal",280.7
"5","Chalcophaps indica",6.947,"Asian Emerald Dove",136.5
"6","Chloropsis aurifrons",4.82272727272727,"Golden-fronted Leafbird",32.3
"7","Copsychus saularis",6.67,"Oriental Magpie-Robin",36
"8","Corvus macrorhynchos",10.713,"Large-billed Crow",513.1
"9","Corvus splendens",8.42727272727273,"House Crow",292.6
"10","Culicicapa ceylonensis",4.182,"Gray-headed Canary-Flycatcher",7.7
"11","Cyornis rubeculoides",4.81,"Blue-throated Flycatcher",14.2
"12","Dendronanthus indicus",4.463,"Forest Wagtail",16.4
"13","Dicaeum concolor",2.82583333333333,"Nilgiri Flowerpecker",6.2
"14","Dicrurus aeneus",5.8,"Bronzed Drongo",26
"15","Dicrurus leucophaeus",6.213,"Ashy Drongo",37.6
"16","Dicrurus paradiseus",6.992,"Greater Racket-tailed Drongo",85.8
"17","Dinopium benghalense",5.848,"Black-rumped Flameback",100
"18","Dryocopus javensis",8.452,"White-bellied Woodpecker",271.4
"19","Ducula badia",8.76454545454545,"Mountain Imperial-Pigeon",486
"20","Eudynamys scolopaceus",8.23,"Asian Koel",194.9
"21","Halcyon smyrnensis",7.935,"White-throated Kingfisher",91.4
"22","Hemicircus canente",4.416,"Heart-spotted Woodpecker",43
"23","Hemipus picatus",4.019,"Bar-winged Flycatcher-shrike",9
"24","Hypothymis azurea",4.359,"Black-naped Monarch",11.1
"25","Irena puella",6.29727272727273,"Asian Fairy-bluebird",64.9
"26","Lanius cristatus",6.241,"Brown Shrike",32.2
"27","Merops leschenaulti",5.819,"Chestnut-headed Bee-eater",27.2
"28","Motacilla cinerea",4.05,"Gray Wagtail",17.2
"29","Muscicapa dauurica",5.025,"Asian Brown Flycatcher",9.8
"30","Oriolus xanthornus",5.82636363636364,"Black-hooded Oriole",56.3
"31","Orthotomus sutorius",3.407,"Common Tailorbird",7.5
"32","Pavo cristatus",11.565,"Indian Peafowl",4154.8
"33","Pellorneum ruficeps",5.19666666666667,"Puff-throated Babbler",26
"34","Pericrocotus flammeus",5.378,"Orange Minivet",23.3
"35","Phylloscopus trochiloides",3.395,"Greenish Warbler",8.1
"36","Picumnus innominatus",3.679,"Speckled Piculet",10.2
"37","Picus chlorolophus",5.841,"Lesser Yellownape",65.4
"38","Pitta brachyura",7.019,"Indian Pitta",55.5
"39","Pycnonotus jocosus",4.711,"Red-whiskered Bulbul",29.5
"40","Upupa epops",4.995,"Eurasian Hoopoe",66.9
"41","Zosterops palpebrosus",3.07,"Indian White-eye",8.6
"42","Acritillas indica",5.4764956243,"Yellow-browed Bulbul",30.6
"43","Acrocephalus dumetorum",3.7858899219,"Blyth's Reed Warbler",11.2
"44","Alcippe poioicephala",4.3607488465,"Brown-cheeked Fulvetta",20.7
"45","Argya subrufa",4.8090781851,"Rufous Babbler",66.7
"46","Chrysocolaptes guttacristatus",6.4921609244,"Greater Flameback",166
"47","Cinnyris asiaticus",3.3030259567,"Purple Sunbird",8.1
"48","Cyornis pallidipes",5.0395369028,"White-bellied Blue Flycatcher",19
"49","Dendrocitta leucogastra",8.0390426471,"White-bellied Treepie",99.2
"50","Dinopium javanense",4.3723918741,"Common Flameback",72.8
"51","Dumetia atriceps",4.0118512186,"Dark-fronted Babbler",16.3
"52","Eumyias albicaudatus",4.55793996,"Nilgiri Flycatcher",16.4
"53","Ficedula nigrorufa",4.4496810601,"Black-and-orange Flycatcher",9.4
"54","Ficedula ruficauda",3.812357186,"Rusty-tailed Flycatcher",13.3
"55","Galloperdix spadicea",7.2904783485,"Red Spurfowl",359.1
"56","Gallus sonneratii",8.0653371427,"Gray Junglefowl",840.8
"57","Geokichla citrina",6.2181027886,"Orange-headed Thrush",53.3
"58","Gracula indica",6.9110190501,"Southern Hill Myna",192
"59","Harpactes fasciatus",6.7369353528,"Malabar Trogon",62
"60","Hierococcyx varius",7.2727169884,"Common Hawk-Cuckoo",103
"61","Hypsipetes ganeesa",5.2714275729,"Square-tailed Bulbul",51.8
"62","Larvivora brunnea",3.8360014416,"Indian Blue Robin",17.5
"63","Leptocoma minima",2.5051569488,"Crimson-backed Sunbird",4.9
"64","Machlolophus aplonotus",3.6842844378,"Indian Yellow Tit",14.8
"65","Micropternus brachyurus",5.8384613319,"Rufous Woodpecker",85.9
"66","Muscicapa muttui",4.714591388,"Brown-breasted Flycatcher",12
"67","Myophonus horsfieldii",7.9363435741,"Malabar Whistling-Thrush",117
"68","Pericrocotus cinnamomeus",3.6145845817,"Small Minivet",8.6
"69","Phylloscopus magnirostris",3.2780771519,"Large-billed Leaf Warbler",11.6
"70","Phylloscopus nitidus",2.9127111107,"Green Warbler",7.8
"71","Picus xanthopygaeus",5.6591177615,"Streak-throated Woodpecker",99.7
"72","Pomatorhinus horsfieldii",4.6193224752,"Indian Scimitar-Babbler",43
"73","Psilopogon malabaricus",4.0174135706,"Malabar Barbet",37.6
"74","Psilopogon viridis",6.544475824,"White-cheeked Barbet",80.5
"75","Rubigula gularis",3.6509080503,"Flame-throated Bulbul",29.3
"76","Sitta frontalis",3.49217362,"Velvet-fronted Nuthatch",16.5
"77","Tephrodornis sylvicola",5.6730295763,"Malabar Woodshrike",37.8
"78","Terpsiphone paradisi",4.9539744324,"Indian Paradise-Flycatcher",19.2
"79","Treron affinis",5.9078784818,"Gray-fronted Green-Pigeon",234
